Sp.Scien.jetz,Sp.Eng.jetz,Sp.Scien.hbw,Sp.Eng.hbw,Match_jetz_birdlife,Order,strategy_3,distance_4,distance_quanti_RES0,distance_quanti_ALL
Climacteris_affinis,White-browed-Treecreeper,Climacteris_affinis,White-browed-Treecreeper,Climacteris_affinis,PASSERIFORMES,resident,resident,0,458.179070086795
Climacteris_erythrops,Red-browed-Treecreeper,Climacteris_erythrops,Red-browed-Treecreeper,Climacteris_erythrops,PASSERIFORMES,resident,resident,0,164.634224489609
Climacteris_melanurus,Black-tailed-Treecreeper,Climacteris_melanurus,Black-tailed-Treecreeper,Climacteris_melanurus,PASSERIFORMES,resident,resident,0,308.751088980011
Climacteris_picumnus,Brown-Treecreeper,Climacteris_picumnus,Brown-Treecreeper,Climacteris_picumnus,PASSERIFORMES,resident,resident,0,393.261570795891
Climacteris_rufus,Rufous-Treecreeper,Climacteris_rufus,Rufous-Treecreeper,Climacteris_rufus,PASSERIFORMES,resident,resident,0,203.410484727444
Clypicterus_oseryi,Casqued-Oropendola,Clypicterus_oseryi,Casqued-Oropendola,Clypicterus_oseryi,PASSERIFORMES,resident,resident,0,214.127071160373
Clytoceyx_rex,Shovel-billed-Kookaburra,Clytoceyx_rex,Shovel-billed-Kingfisher,Clytoceyx_rex,CORACIIFORMES,resident,resident,0,203.591551008301
Clytoctantes_alixii,Recurve-billed-Bushbird,Clytoctantes_alixii,Recurve-billed-Bushbird,Clytoctantes_alixii,PASSERIFORMES,resident,resident,0,18.2533360825091
Clytoctantes_atrogularis,Rondonia-Bushbird,Clytoctantes_atrogularis,Rondonia-Bushbird,Clytoctantes_atrogularis,PASSERIFORMES,resident,resident,0,55.2967735694086
Clytolaema_rubricauda,Brazilian-Ruby,Clytolaema_rubricauda,Brazilian-Ruby,Clytolaema_rubricauda,CAPRIMULGIFORMES,resident,resident,0,185.349180723933
Clytomyias_insignis,Orange-crowned-Fairywren,Clytomyias_insignis,Orange-crowned-Wren,Clytomyias_insignis,PASSERIFORMES,resident,resident,0,158.069128762526
Clytorhynchus_hamlini,Rennell-Shrikebill,Clytorhynchus_hamlini,Rennell-Shrikebill,Clytorhynchus_hamlini,PASSERIFORMES,resident,resident,0,18.1735211164832
Clytorhynchus_nigrogularis,Black-throated-Shrikebill,Clytorhynchus_nigrogularis,Black-faced-Shrikebill,Clytorhynchus_nigrogularis,PASSERIFORMES,resident,resident,0,52.9075225584631
Clytorhynchus_pachycephaloides,Southern-Shrikebill,Clytorhynchus_pachycephaloides,Southern-Shrikebill,Clytorhynchus_pachycephaloides,PASSERIFORMES,resident,resident,0,101.462771733101
